id,text_raw,text_light_clean,text_ml_clean,label,relation,likes,dislikes,source,split,text_normalized,label_original,was_user_relabeled
1,"Бат-Амгалан минь ээ! Чи өмнөх ажлаа хийж чадахгүй байж юу их дэврүүн амьтан бэ? Чамайг бодвол наад Нямбаа чинь ажил хийж чадаж байгааг Улаанбаатарчууд бүгд харж, ойлгож байгаа юм. Чамайг бол хотынхны дийлэнх нь таних ч үгүй. Яагаад? Учир нь чи хүний нүдэнд өртөх юу ч хийгээгүй, хийж чадах ч үгүй байх.","Бат-Амгалан минь ээ! Чи өмнөх ажлаа хийж чадахгүй байж юу их дэврүүн амьтан бэ? Чамайг бодвол наад Нямбаа чинь ажил хийж чадаж байгааг Улаанбаатарчууд бүгд харж, ойлгож байгаа юм. Чамайг бол хотынхны дийлэнх нь таних ч үгүй. Яагаад? Учир нь чи хүний нүдэнд өртөх юу ч хийгээгүй, хийж чадах ч үгүй байх.",бат-амгалан минь ээ! чи өмнөх ажлаа хийж чадахгүй байж юу их дэврүүн амьтан бэ? чамайг бодвол наад нямбаа чинь ажил хийж чадаж байгааг улаанбаатарчууд бүгд харж ойлгож байгаа юм. чамайг бол хотынхны дийлэнх нь таних ч үгүй. яагаад? учир нь чи хүний нүдэнд өртөх юу ч хийгээгүй хийж чадах ч үгүй байх.,TOXIC,0,7,3,gogo.mn,train,"Бат-Амгалан минь ээ! Чи өмнөх ажлаа хийж чадахгүй байж юу их дэврүүн амьтан бэ? Чамайг бодвол наад Нямбаа чинь ажил хийж чадаж байгааг Улаанбаатарчууд бүгд харж, ойлгож байгаа юм. Чамайг бол хотынхны дийлэнх нь таних ч үгүй. Яагаад? Учир нь чи хүний нүдэнд өртөх юу ч хийгээгүй, хийж чадах ч үгүй байх.",TOXIC,False
2,хэн ч түрүүлсэн монгол л шүү,хэн ч түрүүлсэн монгол л шүү,хэн ч түрүүлсэн монгол л шүү,POSITIVE,0,2,0,news.mn,train,хэн ч түрүүлсэн монгол л шүү,POSITIVE,False
3,"Энэ мөнгөөрөө цахилгаан станц, зам гүүр хийж болдоггүй юмуу. Энэ чинь л ард түмэнд очиж байгаа ашиг тус юм бишүү","Энэ мөнгөөрөө цахилгаан станц, зам гүүр хийж болдоггүй юмуу. Энэ чинь л ард түмэнд очиж байгаа ашиг тус юм бишүү",энэ мөнгөөрөө цахилгаан станц зам гүүр хийж болдоггүй юмуу. энэ чинь л ард түмэнд очиж байгаа ашиг тус юм бишүү,CONSTRUCTIVE,0,3,0,gogo.mn,train,"Энэ мөнгөөрөө цахилгаан станц, зам гүүр хийж болдоггүй юмуу. Энэ чинь л ард түмэнд очиж байгаа ашиг тус юм бишүү",CONSTRUCTIVE,False
4,УИХ одоо тар дахин сонгууль явуул.,УИХ одоо тар дахин сонгууль явуул.,уих одоо тар дахин сонгууль явуул.,CONSTRUCTIVE,0,3,0,news.mn,val,УИХ одоо тар дахин сонгууль явуул.,CONSTRUCTIVE,False
5,"Тэгээд яг адилхан эмэгтэйчүүд Афганистан,Пакистан, Иракт амьдрад байгаа.","Тэгээд яг адилхан эмэгтэйчүүд Афганистан,Пакистан, Иракт амьдрад байгаа.",тэгээд яг адилхан эмэгтэйчүүд афганистан пакистан иракт амьдрад байгаа.,NEUTRAL,1,2,2,gogo.mn,train,"Тэгээд яг адилхан эмэгтэйчүүд Афганистан,Пакистан, Иракт амьдрад байгаа.",NEUTRAL,False
6,Хөгширчихөөд нилээн хүүхэмсэг гардаа. Монгол банкны хүүхнүүд хөөрхийс,Хөгширчихөөд нилээн хүүхэмсэг гардаа. Монгол банкны хүүхнүүд хөөрхийс,хөгширчихөөд нилээн хүүхэмсэг гардаа. монгол банкны хүүхнүүд хөөрхийс,TOXIC,0,2,1,news.mn,train,Хөгширчихөөд нилээн хүүхэмсэг гардаа. Монгол банкны хүүхнүүд хөөрхийс,TOXIC,False
7,Оросын энэ хэдэн зөнөг псдакууд худлаа ярихаас өөр чадах юмгүй золбингууд ...,Оросын энэ хэдэн зөнөг псдакууд худлаа ярихаас өөр чадах юмгүй золбингууд ..,оросын энэ хэдэн зөнөг псдакууд худлаа ярихаас өөр чадах юмгүй золбингууд ..,TOXIC,0,0,0,news.mn,test,Оросын энэ хэдэн зөнөг псдакууд худлаа ярихаас өөр чадах юмгүй золбингууд ..,TOXIC,False
8,"Үнэхээр өөр шийдвэрлэх асуудалгүй амьдардаг юм бх даа, биднүүс.","Үнэхээр өөр шийдвэрлэх асуудалгүй амьдардаг юм бх даа, биднүүс.",үнэхээр өөр шийдвэрлэх асуудалгүй амьдардаг юм бх даа биднүүс.,NEUTRAL,0,0,0,news.mn,test,"Үнэхээр өөр шийдвэрлэх асуудалгүй амьдардаг юм бх даа, биднүүс.",NEUTRAL,False
9,Манай хуулийнхан шиг хуйвалддаг бол ингэж хариугаа авах нь зөв. Өөр яах юм бэ? Дүүгээ өмөөрсөн энэ охинд арай хүнд ял өгчээ. Бүр эсрэгээр нь хүчирхийлэгчийг арай алалгүй эрэмдэг болгоод орхисон бол яах бсан бол?,Манай хуулийнхан шиг хуйвалддаг бол ингэж хариугаа авах нь зөв. Өөр яах юм бэ? Дүүгээ өмөөрсөн энэ охинд арай хүнд ял өгчээ. Бүр эсрэгээр нь хүчирхийлэгчийг арай алалгүй эрэмдэг болгоод орхисон бол яах бсан бол?,манай хуулийнхан шиг хуйвалддаг бол ингэж хариугаа авах нь зөв. өөр яах юм бэ? дүүгээ өмөөрсөн энэ охинд арай хүнд ял өгчээ. бүр эсрэгээр нь хүчирхийлэгчийг арай алалгүй эрэмдэг болгоод орхисон бол яах бсан бол?,CONSTRUCTIVE,0,0,0,Zaluusinfo,train,Манай хуулийнхан шиг хуйвалддаг бол ингэж хариугаа авах нь зөв. Өөр яах юм бэ? Дүүгээ өмөөрсөн энэ охинд арай хүнд ял өгчээ. Бүр эсрэгээр нь хүчирхийлэгчийг арай алалгүй эрэмдэг болгоод орхисон бол яах бсан бол?,CONSTRUCTIVE,False
10,"Дэд сайд, 2 менежер гэсэн бялууны улсаа болио. төрийн ажилтнаа цөөлж зардлыг нь танаа. түмэн олноо доромжлохоо болио. цөхөрч гүйцлээ.","Дэд сайд, 2 менежер гэсэн бялууны улсаа болио. төрийн ажилтнаа цөөлж зардлыг нь танаа. түмэн олноо доромжлохоо болио. цөхөрч гүйцлээ.",дэд сайд 2 менежер гэсэн бялууны улсаа болио. төрийн ажилтнаа цөөлж зардлыг нь танаа. түмэн олноо доромжлохоо болио. цөхөрч гүйцлээ.,CONSTRUCTIVE,0,2,0,news.mn,train,"Дэд сайд, 2 менежер гэсэн бялууны улсаа болио. төрийн ажилтнаа цөөлж зардлыг нь танаа. түмэн олноо доромжлохоо болио. цөхөрч гүйцлээ.",CONSTRUCTIVE,False
